Ri,Enclosure,Nr 52.2 AVG,Nr 52.4 AVG,Nr 52.7 AVG,Nr 52.11 AVG,Nr 60.2 AVG,Nr 60.5 AVG,Nr 60.11 AVG,Nr 60.34 AVG,Years Since,Fires
R1,41A_n,44,26,15,29.5,17,12.5,16,17,7,3
R2,41A_n,37.5,26,20,47.5,17.5,9,21,13.5,7,3
R3,41A_n,38.5,20.5,16,43.5,20,14.5,12.5,22,7,3
R4,41A_n,37.5,26,17,45.5,19,13.5,10.5,27,7,3
R5,41A_n,38.5,21,20,40,19.5,10.5,10,50.5,7,3
R6,41A_n,41.5,25,19,33.5,22.5,6.5,19,39,7,3
R7,41A_n,38,25.5,15,47,17,13,17.5,15,7,3
R8,41A_n,39,23.5,18,49,20,9,17,18,7,3
R9,41A_n,29.5,10.5,14,33.5,25,14.5,19,20,7,3
R10,41A_n,30.5,20.5,24.5,6,22,12.5,12,16,7,3
R11,41A_w,39.5,11,26,48.5,19,13,12.5,42.5,7,3
R12,41A_w,32,21.5,25,43.5,29.5,9,18,44.5,7,3
R13,41A_w,38,26.5,21.5,42.5,20,9.5,16.5,14,7,3
R14,41A_w,43,24.5,27,41.5,18,10.5,13,35.5,7,3
R15,41A_w,33,16.5,14,42.5,19,7,9,16,7,3
R16,41A_w,41,19,17,40.5,21.5,13.5,14.5,14,7,3
R17,41A_w,33,27.5,17,43,32.5,16,13,24,7,3
R18,41A_w,35,26,14,43,22.5,8,15,20,7,3
R19,41A_w,37,23.5,17,53.5,21,15.5,20,17,7,3
R20,41A_w,37.5,22.5,23,47,15,12.5,17,14,7,3
R21,41A_w,27.5,18,19,38,21,11.5,16,14,7,3
R22,41A_w,41.5,19.5,15,39,14,9,17.5,25.5,7,3
R23,43A_e,31,21,14,39.5,21,13,18.5,16,10,3
R24,43A_e,35.5,19.5,16,43,16,5.5,11.5,15,10,3
R25,43A_e,40,22,19,43,20,12.5,16.5,16,10,3
R26,43A_e,30.5,22,18,43.5,19,4,12.5,20,10,3
R27,43A_e,38,25,21,44,20.5,14,12.5,18,10,3
R28,43A_e,32,19,18,43,28,14,10,17.5,10,3
R29,43A_e,33,23,20.5,42,20,7.5,8,41.5,10,3
R30,43A_e,33,18,17,43.5,16.5,23,19.5,24,10,3
R31,43A_e,27,21,11,46.5,15,4.5,13,20.5,10,3
R32,43A_e,32.5,16.5,16,43.5,22,8.5,10,30,10,3
R33,43A_e,36,20.5,10.5,45.5,20.5,9,9,15.5,10,3
R34,43A_e,39,26.5,19.5,42.5,19,15.5,11.5,20,10,3
R35,43A_e,34,20.5,10.5,44,17,16,14,20,10,3
R36,43A_e,37.5,22.5,16,42.5,18,10,15.5,16,10,3
R37,43A_e,36,22,21,42.5,18,9,10.5,20,10,3
R38,43A_n,37.5,20.5,14,42,19,13.5,20.5,15.5,10,3
R39,43A_n,38,13.5,14,44,15.5,8.5,13,14,10,3
R40,43A_n,33,23,21,38,21.5,14,4.5,17,10,3
R41,43A_n,37,28.5,15,42.5,17.5,8,12.5,13.5,10,3
R42,43A_n,39,20.5,15,41,16.5,12.5,11.5,15.5,10,3
R43,43A_n,32.5,20.5,20,41.5,15,17,14,20,10,3
R44,44_e,39.5,21,18,35.5,30.5,18,14,12.5,20,1
R45,44_e,23.5,22.5,17,41,15,13,12,10,20,1
R46,44_e,23.5,18,17,40.5,19,12,10,20.5,20,1
R47,44_e,41.5,26.5,23,39.5,17.5,12,19.5,31.5,20,1
R48,44_e,38.5,24,18,40,20.5,7.5,13,12,20,1
R49,44_e,38.5,20.5,22,42,27.5,15.5,14.5,17,20,1
R50,44_e,35,24.5,20,39,23,24,19,9,20,1
R51,44_e,38,23.5,22,33.5,22,9.5,19.5,11,20,1
R52,44_e,38,22,20,33,26,13,13,16,20,1
R53,44_e,44.5,25,18,45.5,16,12.5,17,10,20,1
R54,44_e,39.5,15.5,16,31.5,17,11,14,19,20,1
R55,44_e,41.5,20,18,29,19,9,13,9,20,1
R56,44_e,42.5,27,17,33.5,15,8.5,13,17,20,1
R57,44_e,32,25.5,14,35.5,19,17,10,30.5,20,1
R58,44_e,39,20,17,36.5,20,12,10.5,19,20,1
R59,44_e,32,23,18,29,19,9,13,9,20,1
R60,44_e,43.5,24.5,18,44.5,38,19,9.5,61,20,1
R61,44_e,32,20,17,39,33.5,16,13,37,20,1
R62,44_e,28,24,14,45,21.5,11.5,15,13,20,1
R63,44_e,39,19,21,40,22,16,16.5,10,20,1
R64,44_e,20,23.5,16,40,31,11,12.5,17,20,1
R65,44_e,37.5,22.5,14,45.5,24.5,13,9,17,20,1
R66,44_e,32.5,23,18,29,29,15,13.5,59,20,1
R67,44_e,28.5,22,15,48.5,23,18,15,10,20,1
R68,44_e,39,22.5,25,49,25,15,10.5,16.5,20,1
R69,44_e,29,20,13,41,21,12,5,15,20,1
R70,44_e,34,19,19,39,16.5,12.5,14,11,20,1
R71,44_e,38,17.5,21,63.5,17,8.5,18.5,11,20,1
R72,44_e,35.5,21.5,17,46,20.5,17,17.5,36,20,1
R73,44_e,44,21,17,37.5,18,13,10.5,28,20,1
R74,44_e,43.5,22.5,18,40,29,15,10.5,16.5,20,1
R75,44_e,34.5,24,22,33.5,25.5,13,12,20,20,1
R76,44_e,43,19,9,40.5,20.5,8.5,12,21,20,1
R77,44_e,36,28.5,19,40,24.5,14.5,13.5,23,20,1
R78,44_e,42,22.5,18,35.5,20,12,18,23,20,1
R79,44_e,39.5,21,16,37,26,15,10,17,20,1
R80,44_e,37.5,16.5,25.5,52,23,16,17,11,20,1
R81,44_e,25,26,20,34,17.5,14,13.5,17,20,1
R82,44_e,29.5,22.5,26,46.5,22.5,13.5,13,10.5,20,1
R83,44_e,42,25,18,29,12.5,9.5,13,11,20,1
R84,44_n,35.5,20,18,39,22.5,10.5,13,26.5,20,1
R85,44_n,43.5,17,17,45,20.5,10.5,16,17,20,1
R86,44_n,37,22.5,16,39.5,24.5,5,12.5,23.5,20,1
R87,44_n,39.5,20.5,19,29,21,12.5,12,56,20,1
R88,44_n,30,21.5,17,40.5,22,10.5,12,17,20,1
R89,44_n,34.5,22.5,23,36.5,19,15.5,15,24.5,20,1
R90,44_n,38.5,23.5,18,39,10.5,11,15,5,20,1
R91,44_n,46,18,18,46.5,20,13.5,12,24.5,20,1
